N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
40,현대글로비스,"188,700","3,000",+1.62%,500,"141,525","75,000",49.95,"128,577",10.26,13.24,
41,KT,"52,200","1,100",-2.06%,"5,000","131,555","252,022",49.00,"235,243",14.15,2.85,
42,삼성전기,"168,900","6,700",+4.13%,"5,000","126,158","74,694",35.59,"544,831",22.33,8.16,
43,포스코퓨처엠,"137,500",900,-0.65%,500,"122,301","88,946",9.42,"113,704",-43.93,-7.98,
44,하이브,"285,000",0,0.00%,500,"118,708","41,652",20.45,"54,146",212.85,0.31,
45,LG,"75,300",200,+0.27%,"5,000","118,410","157,251",34.43,"64,497",15.81,2.16,
46,LG전자,"72,500",300,+0.42%,"5,000","118,093","162,886",29.21,"245,824",17.78,1.81,
47,SK텔레콤,"54,900",100,+0.18%,100,"117,920","214,790",37.45,"289,250",11.63,10.83,
48,삼양식품,"1,563,000","4,000",-0.26%,"5,000","117,741","7,533",18.90,"11,651",36.95,39.37,
49,카카오뱅크,"24,250",300,+1.25%,"5,000","115,670","476,990",16.08,"360,693",24.80,6.95,
50,효성중공업,"1,228,000","12,000",+0.99%,"5,000","114,505","9,325",25.45,"18,429",31.84,14.90,
51,삼성에스디에스,"147,000",600,+0.41%,500,"113,745","77,378",18.68,"56,108",15.13,8.42,
52,LIG넥스원,"502,000","9,000",+1.83%,"5,000","110,440","22,000",32.59,"78,092",36.22,19.59,
53,미래에셋증권,"18,860",20,+0.11%,"5,000","107,562","570,316",13.13,"596,849",13.83,7.94,
54,HD현대,"136,100","1,200",-0.87%,"1,000","107,510","78,993",24.44,"66,497",21.08,6.36,
